Milliseconds since Epoch,Speed,Watt,Ampere,Altitude,GPS Speed,Vehicle Body Temperature ,Battery Percentage,Battery Voltage,Battery Capacity,Battery Temperature,Remaining Mileage,Total Mileage,Latitude,Longitude
1708073749078,0.02,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073749394,0.358,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073749756,2.149,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073750092,0.947,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073750654,0.575,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073750969,0,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073751285,0.005,0.4043,0.01,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073751621,2.366,0.4043,0.01,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073752185,2.45,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073752702,3.216,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073753085,2.837,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073753601,2.774,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073753962,0.638,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073754323,0.638,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073754659,2.502,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073755019,2.502,0.8086,0.02,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073755335,7.015,1.2129,0.03,214.2,1.337297,19,93,40.43,7314,20,27.9,816.458,46.286644,16.35285
1708073755651,7.579,-2.0145,-0.05,214.2,1.337297,19,93,40.29,7314,20,27.9,816.458,46.286644,16.35285
1708073755964,8.177,151.05,3.8,214.2,1.337297,19,93,39.75,7314,20,27.9,816.459,46.286644,16.35285
1708073756324,11.965,557.3352,14.48,214.2,2.4091742,19,93,38.49,7312,20,27.9,816.46,46.28658,16.352919
1708073756638,10.963,559.3423,14.57,214.2,2.4091742,19,93,38.39,7312,20,27.9,816.461,46.28658,16.352919
1708073757269,11.665,563.5401,14.71,214.2,2.4091742,19,93,38.31,7310,20,27.9,816.462,46.28658,16.352919
1708073757877,13.705,561.0382,14.66,214.2,2.4091742,19,93,38.27,7309,20,27.9,816.464,46.28658,16.352919
1708073758193,14.008,561.0382,14.66,214.2,2.4091742,19,93,38.27,7309,20,27.9,816.467,46.28658,16.352919
1708073758552,12.948,573.1632,15.02,214.2,2.4091742,19,93,38.16,7306,20,27.9,816.468,46.28658,16.352919
1708073758890,14.621,567.5879,14.87,214.2,2.4091742,19,93,38.17,7306,20,27.9,816.469,46.28658,16.352919
1708073759227,15.936,566.5275,14.85,214.2,2.4091742,20,93,38.15,7304,20,27.9,816.47,46.28658,16.352919
1708073759563,15.754,576.3017,15.13,214.2,2.4091742,20,93,38.09,7302,20,27.9,816.472,46.28658,16.352919
1708073759924,15.754,576.3017,15.13,214.2,2.4091742,20,93,38.09,7302,20,27.9,816.472,46.28658,16.352919
1708073760284,16.118,574.3254,15.09,214.2,2.4091742,20,93,38.06,7300,20,27.9,816.475,46.28658,16.352919
1708073760599,16.56,576.4575,15.15,214.2,2.4091742,20,93,38.05,7299,20,27.9,816.476,46.28658,16.352919
1708073761027,16.857,576.3832,15.16,214.2,2.4091742,20,93,38.02,7298,20,27.9,816.477,46.28658,16.352919
1708073761387,17.964,580.33435,15.28,214.2,7.207075,20,93,37.98,7298,20,27.9,816.48,46.286602,16.353136
1708073761724,18.351,582.3064,15.34,214.2,7.207075,20,93,37.96,7297,20,27.9,816.482,46.286602,16.353136
1708073762085,18.666,582.912,15.36,214.2,7.207075,20,93,37.95,7295,20,27.9,816.484,46.286602,16.353136
1708073762400,19.264,584.276,15.4,214.2,7.207075,20,93,37.94,7294,20,27.9,816.486,46.286602,16.353136
1708073762737,19.264,580.7083,15.31,214.2,7.207075,20,93,37.93,7294,20,27.9,816.486,46.286602,16.353136
1708073763053,19.545,574.79095,15.15,214.2,7.207075,21,93,37.94,7292,20,27.9,816.489,46.286602,16.353136
1708073763366,19.649,576.7632,15.21,214.2,7.207075,21,93,37.92,7290,20,27.9,816.491,46.286602,16.353136
1708073763728,19.649,576.7632,15.21,214.2,7.207075,21,93,37.92,7290,20,27.9,816.491,46.286602,16.353136
1708073764132,20.412,576.7632,15.21,214.2,7.207075,21,93,37.92,7290,20,27.9,816.493,46.286602,16.353136
1708073764448,21.041,544.54,14.33,214.2,7.207075,21,93,38,7288,20,27.9,816.497,46.286602,16.353136
1708073765031,21.041,544.54,14.33,214.2,7.207075,21,93,38,7288,20,27.9,816.497,46.286602,16.353136
1708073765460,21.486,529.75793,13.93,214.2,7.207075,21,93,38.03,7286,20,27.9,816.501,46.286602,16.353136
1708073765774,21.767,524.329,13.78,214.2,7.207075,21,93,38.05,7283,20,27.9,816.505,46.286602,16.353136
1708073766089,21.677,523.8108,13.77,214.2,13.605412,21,93,38.04,7281,20,27.9,816.506,46.2867,16.353464
1708073766403,21.385,524.8474,13.79,214.2,13.605412,21,93,38.06,7281,20,27.9,816.509,46.2867,16.353464
1708073767777,20.417,-87.70141,-2.18,214.2,13.605412,21,93,40.23,7281,20,27.9,816.51,46.2867,16.353464
1708073768092,18.296,-1.9875,-0.05,214.2,13.605412,21,93,39.75,7281,20,27.9,816.517,46.2867,16.353464
1708073768496,18.62,351.80878,9.03,214.2,13.605412,21,93,38.96,7281,20,27.9,816.518,46.2867,16.353464
1708073769017,17.649,541.07104,14.22,214.2,13.605412,21,93,38.05,7279,21,27.9,816.523,46.2867,16.353464
1708073769351,16.811,17.187101,0.43,214.2,13.605412,21,93,39.97,7279,21,27.9,816.524,46.2867,16.353464
1708073769914,15.95,-67.451996,-1.68,214.2,13.605412,22,93,40.15,7279,21,27.9,816.527,46.2867,16.353464
1708073770229,15.621,172.96458,4.37,214.2,13.605412,22,93,39.58,7279,21,27.9,816.528,46.2867,16.353464
1708073770568,15.283,131.70149,3.33,214.2,13.605412,22,93,39.55,7279,21,27.9,816.53,46.2867,16.353464
1708073771197,16.93,417.1,10.75,214.09999,15.243973,21,93,38.8,7279,21,27.9,816.531,46.28678,16.353706
1708073771556,16.49,576.838,15.22,214.09999,15.243973,22,93,37.9,7277,21,27.9,816.534,46.28678,16.353706
1708073771917,16.49,576.838,15.22,214.09999,15.243973,22,93,37.9,7277,21,27.9,816.534,46.28678,16.353706
1708073772323,17.571,576.838,15.22,214.09999,15.243973,22,93,37.9,7277,21,27.9,816.536,46.28678,16.353706
1708073772681,18.473,576.838,15.22,214.09999,15.243973,22,93,37.9,7277,21,27.9,816.539,46.28678,16.353706
1708073773018,19.065,578.56494,15.31,214.09999,15.243973,22,93,37.79,7272,21,27.9,816.541,46.28678,16.353706
1708073773358,19.224,575.1638,15.22,214.09999,15.243973,22,93,37.79,7271,21,27.9,816.543,46.28678,16.353706
1708073773671,19.484,575.3894,15.23,214.09999,15.243973,22,93,37.78,7270,21,27.9,816.545,46.28678,16.353706
1708073774014,19.782,574.408,15.2,214.09999,15.243973,22,93,37.79,7269,21,27.9,816.546,46.28678,16.353706
1708073774325,20.513,564.80194,14.93,214.09999,15.243973,22,93,37.83,7269,21,27.9,816.549,46.28678,16.353706
1708073774640,20.7,536.7596,14.17,214.09999,15.243973,22,93,37.88,7268,21,27.9,816.55,46.28678,16.353706
1708073774954,21.137,532.116,14.04,214.09999,15.243973,22,93,37.9,7267,21,27.9,816.552,46.28678,16.353706
